600004.SH,2008,0.4869,-0.0525,-0.00,22.9328,0.3704,4.2062,0.0852,0.7731,1.6094,2.2521,27.5324,1.0
600004.SH,2012,0.5773,0.3117,-0.05,23.0878,0.3337,1.0042,0.1064,0.6808,2.1972,0.6013,28.0095,1.0
600004.SH,2014,0.6788,0.7484,-0.02,23.0208,0.1933,0.9958,0.1338,0.672,2.3979,1.7545,28.1413,1.0
600004.SH,2017,0.2484,-1.1073,0.02,23.5993,0.3871,1.4901,0.1224,0.7069,2.6391,2.2328,28.3887,1.0
600006.SH,2009,0.6566,0.6483,-0.17,23.1315,0.4759,1.006,0.0597,0.654,2.3026,7.8057,28.5638,1.0
600006.SH,2012,0.3880,-0.4559,0.02,23.689,0.6149,0.8402,0.0036,0.6143,2.5649,0.6999,29.0215,1.0
600006.SH,2013,0.4670,-0.1322,0.03,23.6466,0.5961,0.7958,0.0084,0.6103,2.6391,1.3078,29.1419,1.0
600006.SH,2014,0.2481,-1.1090,0.01,23.7285,0.6159,0.7503,0.0233,0.6585,2.7081,2.6409,29.2376,1.0
600006.SH,2015,0.2988,-0.8530,-0.01,23.6906,0.593,1.504,0.0551,0.6491,2.7726,9.1693,29.3287,1.0
600006.SH,2017,0.3321,-0.6985,0.01,23.7915,0.6554,1.8571,0.0305,0.6382,2.8904,1.7784,29.5575,1.0
600007.SH,2008,0.7097,0.8939,0.00,22.6885,0.4369,5.2658,0.0866,0.2403,2.1972,3.8298,26.8087,0.0
600007.SH,2009,0.6628,0.6758,0.01,22.8188,0.4806,1.6985,0.0679,0.8661,2.3026,4.2308,27.1817,0.0
600007.SH,2012,0.4504,-0.1990,-0.05,22.9666,0.5285,2.067,0.0841,0.8918,2.5649,0.1313,27.832,0.0
600007.SH,2013,0.2090,-1.3310,-0.07,22.9609,0.4989,2.4646,0.0685,0.8738,2.6391,0.3192,28.0328,0.0
600007.SH,2014,0.3433,-0.6487,-0.05,22.9555,0.4786,2.199,0.107,0.8718,2.7081,0.6926,28.1994,0.0
600007.SH,2015,0.3759,-0.5068,-0.04,22.996,0.4616,2.9474,0.1161,0.8867,2.7726,2.1051,28.661,0.0
600007.SH,2017,0.1782,-1.5284,-0.04,23.1399,0.4525,2.8347,0.1016,0.8522,2.8904,0.2588,29.0781,0.0
600008.SH,2008,0.7943,1.3507,-0.02,23.1638,0.3717,6.4548,0.0547,0.0733,2.0794,4.4315,27.3999,1.0
600008.SH,2009,0.7021,0.8573,-0.04,23.2807,0.4418,1.3409,0.0937,0.6297,2.1972,3.8854,27.7114,1.0
600008.SH,2013,0.3695,-0.5344,0.02,23.8123,0.594,1.0786,0.1019,0.629,2.5649,3.8234,28.163,1.0
600008.SH,2014,0.5938,0.3797,-0.00,23.9148,0.5955,1.5113,0.0989,0.6402,2.6391,2.4172,28.2295,1.0
600008.SH,2017,0.4614,-0.1549,-0.06,24.403,0.6565,1.4552,0.058,0.5769,2.8332,6.6852,28.4807,1.0
600009.SH,2008,0.7123,0.9068,-0.02,23.4985,0.2763,6.2275,0.0722,0.6299,2.3026,1.9771,27.5324,1.0
600009.SH,2009,0.7207,0.9479,-0.01,23.5729,0.2879,1.7648,0.0563,0.4343,2.3979,4.4395,27.6207,1.0
600009.SH,2012,0.5344,0.1376,-0.01,23.6635,0.1813,1.5226,0.1003,0.4219,2.6391,1.0618,28.0095,1.0
600009.SH,2013,0.5868,0.3508,-0.02,23.689,0.1729,1.4957,0.1136,0.3753,2.7081,2.3624,28.0823,1.0
600009.SH,2014,0.6117,0.4546,-0.02,23.7639,0.1755,1.5999,0.1177,0.4313,2.7726,2.739,28.1413,1.0
600009.SH,2015,0.4996,-0.0016,-0.00,23.8594,0.182,2.0083,0.1305,0.5783,2.8332,4.577,28.1981,1.0
600010.SH,2009,0.5202,0.0810,-0.09,24.5052,0.6731,1.1367,-0.1217,0.1463,2.0794,6.208,28.5638,1.0
600010.SH,2013,0.2992,-0.8511,-0.10,24.8784,0.7938,2.6386,0.0123,0.6559,2.4849,1.618,29.1419,1.0
600010.SH,2014,0.2559,-1.0674,-0.02,25.1997,0.7825,1.8039,0.0106,0.6198,2.5649,4.4264,29.2376,1.0
600010.SH,2015,0.4779,-0.0884,-0.01,25.3644,0.8152,3.4088,-0.0951,0.6398,2.6391,6.1524,29.3287,1.0
600010.SH,2017,0.2256,-1.2333,-0.03,25.6751,0.6646,1.9149,0.0427,0.6423,2.7726,1.5467,29.5575,1.0
600011.SH,2008,0.5143,0.0573,-0.01,25.5284,0.5844,3.0918,-0.0899,0.8585,1.9459,0.8637,27.3999,1.0
600011.SH,2009,0.6479,0.6097,0.01,25.8267,0.7474,1.8611,0.1267,0.8053,2.0794,1.7411,27.7114,1.0
600011.SH,2012,0.3265,-0.7239,-0.01,26.262,0.7714,1.1706,0.1111,0.8049,2.3979,0.3838,28.0938,1.0
600011.SH,2013,0.5804,0.3242,-0.03,26.2718,0.7473,1.4732,0.1787,0.8647,2.4849,0.6221,28.163,1.0
600011.SH,2014,0.4872,-0.0511,-0.01,26.285,0.7155,0.9822,0.1627,0.8466,2.5649,0.6879,28.2295,1.0
600011.SH,2015,0.4156,-0.3410,-0.02,26.3297,0.6935,1.5,0.1929,0.8438,2.6391,1.8308,28.3018,1.0
600012.SH,2008,0.7484,1.0900,0.00,22.7231,0.3443,2.9067,0.1436,0.5836,1.6094,1.8722,27.5324,1.0
600012.SH,2009,0.6637,0.6799,-0.01,22.8735,0.3923,1.0754,0.1308,0.7715,1.7918,2.4235,27.6207,1.0
600012.SH,2012,0.6985,0.8400,-0.01,23.0364,0.3508,1.0222,0.1181,0.7616,2.1972,0.4488,28.0095,1.0
