600004.SH,2012,0.5773,0.3117,-0.05,23.0878,0.3337,1.0042,0.1064,0.6808,2.1972,0.6013,28.0095,1.0
600004.SH,2017,0.2484,-1.1073,0.02,23.5993,0.3871,1.4901,0.1224,0.7069,2.6391,2.2328,28.3887,1.0
600006.SH,2012,0.3880,-0.4559,0.02,23.689,0.6149,0.8402,0.0036,0.6143,2.5649,0.6999,29.0215,1.0
600006.SH,2013,0.4670,-0.1322,0.03,23.6466,0.5961,0.7958,0.0084,0.6103,2.6391,1.3078,29.1419,1.0
600006.SH,2014,0.2481,-1.1090,0.01,23.7285,0.6159,0.7503,0.0233,0.6585,2.7081,2.6409,29.2376,1.0
600006.SH,2015,0.2988,-0.8530,-0.01,23.6906,0.593,1.504,0.0551,0.6491,2.7726,9.1693,29.3287,1.0
600006.SH,2017,0.3321,-0.6985,0.01,23.7915,0.6554,1.8571,0.0305,0.6382,2.8904,1.7784,29.5575,1.0
600007.SH,2012,0.4504,-0.1990,-0.05,22.9666,0.5285,2.067,0.0841,0.8918,2.5649,0.1313,27.832,0.0
600007.SH,2013,0.2090,-1.3310,-0.07,22.9609,0.4989,2.4646,0.0685,0.8738,2.6391,0.3192,28.0328,0.0
600007.SH,2014,0.3433,-0.6487,-0.05,22.9555,0.4786,2.199,0.107,0.8718,2.7081,0.6926,28.1994,0.0
600007.SH,2015,0.3759,-0.5068,-0.04,22.996,0.4616,2.9474,0.1161,0.8867,2.7726,2.1051,28.661,0.0
600007.SH,2017,0.1782,-1.5284,-0.04,23.1399,0.4525,2.8347,0.1016,0.8522,2.8904,0.2588,29.0781,0.0
600008.SH,2013,0.3695,-0.5344,0.02,23.8123,0.594,1.0786,0.1019,0.629,2.5649,3.8234,28.163,1.0
600008.SH,2017,0.4614,-0.1549,-0.06,24.403,0.6565,1.4552,0.058,0.5769,2.8332,6.6852,28.4807,1.0
600009.SH,2015,0.4996,-0.0016,-0.00,23.8594,0.182,2.0083,0.1305,0.5783,2.8332,4.577,28.1981,1.0
600009.SH,2017,0.1852,-1.4813,0.01,24.017,0.1603,2.2588,0.1553,0.7037,2.9444,1.5257,28.3887,1.0
600010.SH,2012,0.2407,-1.1487,-0.09,24.6299,0.7382,2.0325,0.0198,0.6605,2.3979,3.191,29.0215,1.0
600010.SH,2013,0.2992,-0.8511,-0.10,24.8784,0.7938,2.6386,0.0123,0.6559,2.4849,1.618,29.1419,1.0
600010.SH,2014,0.2559,-1.0674,-0.02,25.1997,0.7825,1.8039,0.0106,0.6198,2.5649,4.4264,29.2376,1.0
600010.SH,2015,0.4779,-0.0884,-0.01,25.3644,0.8152,3.4088,-0.0951,0.6398,2.6391,6.1524,29.3287,1.0
600010.SH,2017,0.2256,-1.2333,-0.03,25.6751,0.6646,1.9149,0.0427,0.6423,2.7726,1.5467,29.5575,1.0
